size,weight,  None,   One,   Two,  Three,  Four,  Five,  Six,  Seven,Eight
One person (unrelated individual).......,"11,484",,,,,,,,,
  Under 65 years..............................,"11,702","11,702",,,,,,,,
  65 years and over...........................,"10,788","10,788",,,,,,,,
Two people......................................,"14,657",,,,,,,,,
  Householder under 65 years...........,"15,139","15,063","15,504",,,,,,,
  Householder 65 years and over........,"13,609","13,596","15,446",,,,,,,
Three people....................................,"17,916","17,595","18,106","18,123",,,,,,
Four people.....................................,"23,021","23,201","23,581","22,811","22,891",,,,,
Five people......................................,"27,251","27,979","28,386","27,517","26,844","26,434",,,,
Six people........................................,"30,847","32,181","32,309","31,643","31,005","30,056","29,494",,,
Seven people...................................,"35,085","37,029","37,260","36,463","35,907","34,872","33,665","32,340",,
Eight people....................................,"39,064","41,414","41,779","41,027","40,368","39,433","38,247","37,011","36,697",
Nine people or more..........................,"46,572","49,818","50,059","49,393","48,835","47,917","46,654","45,512","45,229","43,487"
