geo_id,geo_description,label,estimate,moe,se,year,description
37067000100,"Census Tract 1, Forsyth County, North Carolina",HC01_EST_VC01,2087,160,97.2644376899696,2016,Total; Estimate; Population 16 years and over
37067000200,"Census Tract 2, Forsyth County, North Carolina",HC01_EST_VC01,983,122,74.16413373860182,2016,Total; Estimate; Population 16 years and over
37067000301,"Census Tract 3.01, Forsyth County, North Carolina",HC01_EST_VC01,1452,145,88.14589665653496,2016,Total; Estimate; Population 16 years and over
37067000302,"Census Tract 3.02, Forsyth County, North Carolina",HC01_EST_VC01,1161,148,89.96960486322189,2016,Total; Estimate; Population 16 years and over
37067000400,"Census Tract 4, Forsyth County, North Carolina",HC01_EST_VC01,2598,498,302.7355623100304,2016,Total; Estimate; Population 16 years and over
37067000500,"Census Tract 5, Forsyth County, North Carolina",HC01_EST_VC01,1803,217,131.91489361702128,2016,Total; Estimate; Population 16 years and over
37067000600,"Census Tract 6, Forsyth County, North Carolina",HC01_EST_VC01,1524,190,115.5015197568389,2016,Total; Estimate; Population 16 years and over
37067000700,"Census Tract 7, Forsyth County, North Carolina",HC01_EST_VC01,1320,164,99.69604863221885,2016,Total; Estimate; Population 16 years and over
37067000801,"Census Tract 8.01, Forsyth County, North Carolina",HC01_EST_VC01,2635,764,464.43768996960483,2016,Total; Estimate; Population 16 years and over
37067000802,"Census Tract 8.02, Forsyth County, North Carolina",HC01_EST_VC01,1741,201,122.18844984802432,2016,Total; Estimate; Population 16 years and over
37067000900,"Census Tract 9, Forsyth County, North Carolina",HC01_EST_VC01,3152,329,200,2016,Total; Estimate; Population 16 years and over
37067001e3,"Census Tract 10, Forsyth County, North Carolina",HC01_EST_VC01,3457,348,211.5501519756839,2016,Total; Estimate; Population 16 years and over
37067001100,"Census Tract 11, Forsyth County, North Carolina",HC01_EST_VC01,2008,211,128.26747720364742,2016,Total; Estimate; Population 16 years and over
37067001200,"Census Tract 12, Forsyth County, North Carolina",HC01_EST_VC01,1730,144,87.53799392097264,2016,Total; Estimate; Population 16 years and over
37067001300,"Census Tract 13, Forsyth County, North Carolina",HC01_EST_VC01,4838,400,243.161094224924,2016,Total; Estimate; Population 16 years and over
37067001400,"Census Tract 14, Forsyth County, North Carolina",HC01_EST_VC01,2925,317,192.70516717325228,2016,Total; Estimate; Population 16 years and over
37067001500,"Census Tract 15, Forsyth County, North Carolina",HC01_EST_VC01,2954,228,138.6018237082067,2016,Total; Estimate; Population 16 years and over
37067001601,"Census Tract 16.01, Forsyth County, North Carolina",HC01_EST_VC01,2771,287,174.46808510638297,2016,Total; Estimate; Population 16 years and over
37067001602,"Census Tract 16.02, Forsyth County, North Carolina",HC01_EST_VC01,2272,268,162.91793313069908,2016,Total; Estimate; Population 16 years and over
37067001700,"Census Tract 17, Forsyth County, North Carolina",HC01_EST_VC01,3785,308,187.2340425531915,2016,Total; Estimate; Population 16 years and over
37067001800,"Census Tract 18, Forsyth County, North Carolina",HC01_EST_VC01,3245,333,202.43161094224925,2016,Total; Estimate; Population 16 years and over
37067001901,"Census Tract 19.01, Forsyth County, North Carolina",HC01_EST_VC01,1217,161,97.87234042553192,2016,Total; Estimate; Population 16 years and over
