<<<<<<< HEAD
ETHNICITY,RACE,n
HL,A,8
HL,B,130
HL,I,15
HL,M,184
HL,O,1801
HL,U,911
HL,W,1374
NL,A,886
NL,B,33359
NL,I,179
NL,M,464
NL,O,1366
NL,U,455
NL,W,99883
UN,A,502
UN,B,13059
UN,I,85
UN,M,382
UN,O,370
UN,U,4545
UN,W,19354
=======
ETHNICITY,RACE,n
HL,A,8
HL,B,130
HL,I,15
HL,M,184
HL,O,1801
HL,U,911
HL,W,1374
NL,A,886
NL,B,33359
NL,I,179
NL,M,464
NL,O,1366
NL,U,455
NL,W,99883
UN,A,502
UN,B,13059
UN,I,85
UN,M,382
UN,O,370
UN,U,4545
UN,W,19354
>>>>>>> 040b8131dc7ebfafb9bb37ba9a68739dbf22a3df
