county,year,family_structure,children,race,family_count,total_count,percentage,se_family_count,se_percentage,moe_family_count,moe_percentage,cv_family_count,cv_percentage
Durham,2006,Married-couple,With related children under 18,Total,33539,100040,0.3352558976409436,1873.4887776552066,0.016995032869964996,3672.0380042042048,0.033310264425131395,5.59,5.07
Durham,2006,Married-couple,No related children under 18,Total,37456,100040,0.37441023590563777,2020.1294636730588,0.01847971964840645,3959.453748799195,0.03622025051087664,5.39,4.94
Durham,2006,Male householder,With related children under 18,Total,3549,100040,0.035475809676129545,693.1639055807797,0.00702200615316562,1358.601254938328,0.013763132060204615,19.53,19.79
Durham,2006,Male householder,No related children under 18,Total,2484,100040,0.024830067972810874,627.5569296884546,0.006146393881080863,1230.011582189371,0.012046932006918492,25.26,24.75
Durham,2006,Female householder,With related children under 18,Total,17050,100040,0.17043182726909237,1511.6908248712764,0.014637740200966622,2962.9140167477017,0.028689970793894577,8.87,8.59
Durham,2006,Female householder,No related children under 18,Total,5962,100040,0.05959616153538585,1098.3086087252527,0.010478743190935221,2152.684873101495,0.020538336654233033,18.42,17.58
Durham,2007,Married-couple,With related children under 18,Total,35080,103045,0.3404337910621573,1895.1709685408332,0.01677840635527073,3714.535098340033,0.03288567645633063,5.4,4.93
Durham,2007,Married-couple,No related children under 18,Total,38684,103045,0.3754088019797176,1676.4962869031356,0.016107044717593662,3285.9327223301457,0.03156980764648358,4.33,4.29
Durham,2007,Male householder,With related children under 18,Total,3673,103045,0.03564462128196419,712.1801036254805,0.006905474703090159,1395.8730031059417,0.01353473041805671,19.39,19.37
Durham,2007,Male householder,No related children under 18,Total,2459,103045,0.023863360667669465,600.5724768918403,0.005701057851073596,1177.122054708007,0.011174073388104248,24.42,23.89
Durham,2007,Female householder,With related children under 18,Total,17071,103045,0.16566548595273908,1619.617778983671,0.014756017152336461,3174.4508468079953,0.028921793618579463,9.49,8.91
Durham,2007,Female householder,No related children under 18,Total,6078,103045,0.05898393905575234,1032.8241137773653,0.009596676592612952,2024.3352630036359,0.018809486121521387,16.99,16.27
Durham,2008,Married-couple,With related children under 18,Total,32844,107420,0.3057531185998883,1828.243638030774,0.015958253067796215,3583.357530540317,0.03127817601288058,5.57,5.22
Durham,2008,Married-couple,No related children under 18,Total,42210,107420,0.39294358592440887,1845.3255268380158,0.015307918407141971,3616.838032602511,0.030003520077998263,4.37,3.9
Durham,2008,Male householder,With related children under 18,Total,5380,107420,0.0500837832805809,929.7386460721099,0.008521161413617103,1822.2877463013353,0.016701476370689524,17.28,17.01
Durham,2008,Male householder,No related children under 18,Total,3793,107420,0.03530999813814932,705.6064767276446,0.00646560212576997,1382.9886943861834,0.01267258016650914,18.6,18.31
Durham,2008,Female householder,With related children under 18,Total,17448,107420,0.16242785328616646,1632.2775039802516,0.01420708018416867,3199.263907801293,0.027845877160970593,9.36,8.75
Durham,2008,Female householder,No related children under 18,Total,5745,107420,0.05348166077080618,827.5747398271651,0.007257785492558757,1622.0464900612435,0.014225259565415163,14.41,13.57
Durham,2009,Married-couple,With related children under 18,Total,35137,109068,0.3221568195987824,2001.5418806510147,0.015416878775324848,3923.0220860759887,0.0302170823996367,5.7,4.79
Durham,2009,Married-couple,No related children under 18,Total,39260,109068,0.3599589247075219,1642.3398399844048,0.01301886388983693,3218.9860863694335,0.02551697322408038,4.18,3.62
Durham,2009,Male householder,With related children under 18,Total,5509,109068,0.05050977371914769,847.0978691981228,0.007783601815783819,1660.3118236283206,0.015255859558936286,15.38,15.41
Durham,2009,Male householder,No related children under 18,Total,3332,109068,0.030549748780577254,774.9508371503318,0.007116521031438711,1518.9036408146503,0.013948381221619873,23.26,23.29
Durham,2009,Female householder,With related children under 18,Total,18856,109068,0.17288297209080575,1397.414809568011,0.01223572817233638,2738.9330267533014,0.023982027217779305,7.41,7.08
Durham,2009,Female householder,No related children under 18,Total,6974,109068,0.063941761103165,868.5321525424376,0.008031069560177882,1702.3230189831777,0.01574089633794865,12.45,12.56
Durham,2010,Married-couple,With related children under 18,Total,33390,105502,0.3164868912437679,1664.3882810209882,0.014853156071294083,3262.2010308011368,0.029112185899736402,4.98,4.69
Durham,2010,Married-couple,No related children under 18,Total,37897,105502,0.3592064605410324,1831.619420076125,0.01624850496315133,3589.9740633492047,0.03184706972777661,4.83,4.52
Durham,2010,Male householder,With related children under 18,Total,3889,105502,0.03686186043866467,683.62014306192,0.006386341139628358,1339.895480401363,0.01251722863367158,17.58,17.33
Durham,2010,Male householder,No related children under 18,Total,3422,105502,0.032435404068169325,799.7676850185934,0.007449961111361545,1567.544662636443,0.014601923778268628,23.37,22.97
Durham,2010,Female householder,With related children under 18,Total,18478,105502,0.17514359917347538,1465.7266798417775,0.012898057125593285,2872.8242924898836,0.025280191966162838,7.93,7.36
Durham,2010,Female householder,No related children under 18,Total,8426,105502,0.07986578453489034,1243.034030105371,0.011353393994885939,2436.3466990065267,0.022252652229976442,14.75,14.22
Durham,2011,Married-couple,With related children under 18,Total,32528,112470,0.2892149017515782,2052.155647118415,0.015361925785774038,4022.2250683520933,0.030109374540117115,6.31,5.31
Durham,2011,Married-couple,No related children under 18,Total,42532,112470,0.3781630657064106,2112.180058612428,0.017130345957508758,4139.8729148803595,0.033575478076717166,4.97,4.53
Durham,2011,Male householder,With related children under 18,Total,4022,112470,0.0357606472837201,884.9026500129831,0.007748265257057426,1734.4091940254468,0.015186599903832556,22,21.67
Durham,2011,Male householder,No related children under 18,Total,3266,112470,0.02903885480572597,823.1395385959784,0.007246839638825522,1613.3534956481176,0.014203805692098023,25.2,24.96
Durham,2011,Female householder,With related children under 18,Total,22723,112470,0.2020360985151596,1937.544360782483,0.01574272908742704,3797.5869471336664,0.030855749011356993,8.53,7.79
Durham,2011,Female householder,No related children under 18,Total,7399,112470,0.06578643193740553,1269.7522986787621,0.011122063198179932,2488.714505410374,0.021799243868432665,17.16,16.91
Durham,2012,Married-couple,With related children under 18,Total,19430,67881,0.28623620748073836,1510.9346776085324,0.02230607341881492,2961.4319681127236,0.04371990390087724,7.78,7.79
Durham,2012,Married-couple,No related children under 18,Total,26094,67881,0.38440800813187787,1700.7137325252595,0.02171319163240582,3333.3989157495084,0.0425578555995154,6.52,5.65
Durham,2012,Male householder,With related children under 18,Total,3133,67881,0.04615429943577731,666.4014930955663,0.009683290701511619,1306.1469264673099,0.01897924977496277,21.27,20.98
Durham,2012,Male householder,No related children under 18,Total,2822,67881,0.04157275231655397,649.5059661003893,0.009405046022944572,1273.031693556763,0.01843389020497136,23.02,22.62
Durham,2012,Female householder,With related children under 18,Total,10069,67881,0.1483331123583919,1153.5253573285677,0.016119756781112365,2260.9097003639927,0.03159472329098023,11.46,10.87
Durham,2012,Female householder,No related children under 18,Total,6333,67881,0.09329562027666062,949.7742363319823,0.013476654829705509,1861.5575032106851,0.026414243466222797,15,14.45
Durham,2013,Married-couple,With related children under 18,Total,18269,64809,0.28188986097609897,1638.8733477605888,0.02396763449938086,3212.191761610754,0.046976563618786486,8.97,8.5
Durham,2013,Married-couple,No related children under 18,Total,26419,64809,0.4076440000617198,1530.3388840384341,0.02105848822990142,2999.4642127153306,0.04127463693060678,5.79,5.17
Durham,2013,Male householder,With related children under 18,Total,4540,64809,0.07005199895076301,1124.435369418803,0.017374628182314455,2203.893324060854,0.03405427123733633,24.77,24.8
Durham,2013,Male householder,No related children under 18,Total,1168,64809,0.018022188276319646,376.28918400613117,0.0057054118570978585,737.5268006520171,0.011182607239911803,32.22,31.66
Durham,2013,Female householder,With related children under 18,Total,9830,64809,0.15167646468854634,1224.147662661658,0.017277245688775807,2399.3294188168493,0.03386340155000058,12.45,11.39
Durham,2013,Female householder,No related children under 18,Total,4583,64809,0.07071548704655217,764.9988235285072,0.011924348762415252,1499.397694115874,0.023371723574333893,16.69,16.86
Durham,2014,Married-couple,With related children under 18,Total,18252,65429,0.2789588714484403,1632.4112686452518,0.021983254493849615,3199.5260865446935,0.04308717880794524,8.94,7.88
Durham,2014,Married-couple,No related children under 18,Total,26505,65429,0.4050955998104816,1240.2590858365038,0.018302283090869877,2430.907808239547,0.03587247485810496,4.68,4.52
Durham,2014,Male householder,With related children under 18,Total,2734,65429,0.041785752495070994,642.8449657576856,0.00986896285227108,1259.9761328850639,0.019343167190451316,23.51,23.62
Durham,2014,Male householder,No related children under 18,Total,1230,65429,0.018799003499977075,338.27001049457516,0.005099823943505371,663.0092205693674,0.009995654929270526,27.5,27.13
Durham,2014,Female householder,With related children under 18,Total,11868,65429,0.1813874581607544,1330.4645429322798,0.0183534757540044,2607.7105041472682,0.03597281247784863,11.21,10.12
Durham,2014,Female householder,No related children under 18,Total,4840,65429,0.07397331458527565,757.5790717806294,0.01127458892863064,1484.8549806900337,0.022098194300116055,15.65,15.24
Durham,2015,Married-couple,With related children under 18,Total,20277,67528,0.3002754412984244,1410.6527035383301,0.02193797027653351,2764.879298935127,0.042998421742005674,6.96,7.31
Durham,2015,Married-couple,No related children under 18,Total,26488,67528,0.3922521028314181,1681.2098619744056,0.02213457933330635,3295.1713294698347,0.043383775493280444,6.35,5.64
Durham,2015,Male householder,With related children under 18,Total,2672,67528,0.039568771472574336,627.9905652157523,0.008982310961098314,1230.8615078228745,0.017605329483752694,23.5,22.7
Durham,2015,Male householder,No related children under 18,Total,2192,67528,0.03246060893259092,613.1929957199446,0.009008930946556746,1201.8582716110914,0.017657504655251222,27.97,27.75
Durham,2015,Female householder,With related children under 18,Total,11551,67528,0.1710549697903092,1495.9751836176963,0.02034790985073246,2932.1113598906845,0.03988190330743562,12.95,11.9
Durham,2015,Female householder,No related children under 18,Total,4348,67528,0.06438810567468309,677.7411010112933,0.009517500362640074,1328.3725579821348,0.018654300710774546,15.59,14.78
Durham,2016,Married-couple,With related children under 18,Total,19385,69968,0.27705522524582665,1187.4579150437291,0.015939132955541037,2327.417513485709,0.03124070059286043,6.13,5.75
Durham,2016,Married-couple,No related children under 18,Total,28834,69968,0.41210267550880403,1516.4965875332525,0.020513971966691368,2972.333311565175,0.04020738505471508,5.26,4.98
Durham,2016,Male householder,With related children under 18,Total,3155,69968,0.04509204207637777,845.9062595819942,0.011849515880195583,1657.9762687807086,0.023225051125183343,26.81,26.28
Durham,2016,Male householder,No related children under 18,Total,1730,69968,0.02472558884061285,457.9331828989902,0.006385493739334654,897.5490384820208,0.012515567729095923,26.47,25.83
Durham,2016,Female householder,With related children under 18,Total,11092,69968,0.1585296135376172,1204.6468362138341,0.016151110693225175,2361.1077989791147,0.03165617695872134,10.86,10.19
Durham,2016,Female householder,No related children under 18,Total,5772,69968,0.08249485479076149,890.8531584947095,0.012432137455654253,1746.0721906496306,0.024366989413082334,15.43,15.07
Durham,2017,Married-couple,With related children under 18,Total,22358,72374,0.30892309392875894,1496.9125892983866,0.020612292402730804,2933.9486750248375,0.04040009310935237,6.7,6.67
Durham,2017,Married-couple,No related children under 18,Total,27586,72374,0.381158979744107,1639.0733967702606,0.020804169027963795,3212.5838576697106,0.04077617129480904,5.94,5.46
Durham,2017,Male householder,With related children under 18,Total,3185,72374,0.04400751651145439,881.5874034944012,0.01189740659543781,1727.9113108490262,0.023318916927058106,27.68,27.03
Durham,2017,Male householder,No related children under 18,Total,1850,72374,0.025561665791582613,473.70175216057623,0.006501938805114876,928.4554342347294,0.012743800058025157,25.61,25.44
Durham,2017,Female householder,With related children under 18,Total,11475,72374,0.1585514134910327,1531.516111570492,0.019247717472541993,3001.7715786781646,0.037725526246182306,13.35,12.14
Durham,2017,Female householder,No related children under 18,Total,5920,72374,0.08179733053306436,862.8604464222474,0.01112861436780346,1691.206474987605,0.02181208416089478,14.58,13.61
