GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0100000US,,United States,299026555,24322,42868163,236589,19183762,125667,2483350,35323,428215,9919,2371500,31049,1085597,20272,355070,10554,693788,15244,2909604,41543,2362816,33005,1983212,23656,1980271,22134,1389491,18972,623529,10760,517319,11217,23684401,130978,2366638,32589,402194,12243,2345764,33911,1053300,19223,354731,10683,716815,12569,3629556,37879,3511429,30340,2737110,29839,2352472,23939,1762291,17361,1084597,15551,1367504,18802,256158392,241152,127562824,130652,8198458,34427,1575222,19238,9839947,36092,5160014,34225,1760390,18262,3579844,20707,11146814,39586,17982248,37699,18361139,32479,19591001,34328,15189743,19810,8859819,15609,6318185,15098,128595568,132548,7829839,29472,1525518,19930,9301103,41275,4875441,36517,1663275,17745,3381391,23404,9814824,35531,16694089,33821,17982242,33919,20185089,30308,16181236,20764,9988308,18533,9173213,20993
0400000US37,37,North Carolina,9095948,4026,1478214,29213,650634,18093,86564,4403,16486,2556,82577,5404,35738,3130,10516,1785,22400,2643,100963,6527,85976,6630,65763,4523,68881,4771,43106,3247,17636,1981,14028,1441,827580,17058,85112,5193,14051,1807,83246,5072,32623,3534,12739,1706,22885,2577,133860,6283,123255,5745,95863,5647,84265,4482,57950,3746,35926,2393,45805,3028,7617734,29522,3756901,18881,239997,4951,46147,3383,302404,7667,149731,6054,53288,2706,100360,3657,318310,8325,504145,7411,567054,6149,562607,5683,460876,3542,275975,2735,176007,2493,3860833,18548,230964,5121,46116,3171,279786,7688,141373,5615,47612,3156,96965,4143,272829,7458,489893,6811,577580,6251,598342,5635,505365,4067,317634,3211,256374,3385
0500000US37001,37001,"Alamance County, North Carolina",146025,1783,22531,3825,9793,2231,1373,753,122,223,1345,739,62,105,0,287,406,505,1995,1025,1317,855,750,478,1191,665,673,434,311,249,248,261,12738,2131,788,596,234,362,1170,698,734,508,297,348,239,233,2517,917,1110,622,1783,694,1563,640,1004,421,576,367,723,383,123494,4168,61227,2787,4359,975,314,305,5041,963,3401,887,1035,629,1566,664,4375,1547,7284,862,10257,978,9292,730,6984,543,4166,413,3153,521,62267,2691,3758,735,666,484,5150,1086,2272,864,840,408,1594,444,3108,1422,9100,806,8957,852,9094,669,7971,611,5308,351,4449,530
0500000US37019,37019,"Brunswick County, North Carolina",104720,2097,15372,4059,6200,1971,405,350,42,51,880,573,230,239,0,287,131,209,517,516,941,589,843,661,764,597,1047,564,88,104,312,216,9172,2469,745,470,95,123,842,501,488,423,547,628,53,91,566,441,1669,702,1687,799,869,502,990,394,250,273,371,287,89348,4351,43551,2218,2780,369,324,298,2747,788,916,651,16,30,844,436,2600,591,4689,535,4759,843,5991,538,8098,567,6591,183,3196,224,45797,2585,1983,258,317,243,2593,766,986,529,599,384,813,471,2931,466,4255,657,5183,697,6371,757,9530,399,7095,379,3141,1008
0500000US37021,37021,"Buncombe County, North Carolina",225255,1999,37210,6932,17639,4078,1933,937,401,422,1141,893,1185,686,155,145,356,368,3005,883,3431,1416,1993,704,1718,514,1381,953,262,243,678,373,19571,3273,1652,619,390,374,1859,1037,459,272,226,290,594,380,3654,1046,3492,1362,1954,722,1381,466,1444,600,881,407,1585,500,188045,6822,89028,4410,5090,875,544,389,5465,1196,3763,1036,1433,460,1631,501,5687,1119,12150,1197,12658,814,13810,820,12837,994,8098,290,5862,361,99017,3185,4797,687,1012,536,6518,1299,3293,907,549,282,2533,469,4867,1100,12392,1506,13760,813,16729,889,14918,624,9432,479,8217,917
0500000US37023,37023,"Burke County, North Carolina",86151,1545,15757,3628,8429,2230,606,399,180,255,620,511,0,287,0,287,839,513,1465,604,1011,613,1384,737,1167,582,807,494,82,119,268,291,7328,1806,710,445,100,114,464,319,213,264,107,138,215,192,1167,637,1118,623,853,492,640,362,671,344,510,266,560,369,70394,3858,34384,2548,1720,614,211,209,2704,727,1547,650,640,373,1041,432,2642,818,4289,631,4615,579,5001,595,4603,507,3425,236,1946,399,36010,2013,1851,688,381,303,2255,668,1370,579,561,284,800,315,2301,658,3144,682,5593,716,5961,469,5128,411,3702,445,2963,619
0500000US37025,37025,"Cabarrus County, North Carolina",171086,1150,20430,4253,9630,2527,1239,393,559,498,1626,921,1016,659,384,382,83,94,806,408,415,335,1204,624,1476,762,504,306,318,265,0,287,10800,2386,1207,623,143,183,1415,733,240,197,131,144,739,550,864,504,1846,604,1723,781,914,531,686,374,343,305,549,372,150656,4222,74371,2602,5817,445,1269,523,5983,1040,3373,938,1121,487,2038,675,6111,647,10243,963,12412,1018,10702,866,7788,339,4388,304,3126,293,76285,2448,5440,664,591,345,6956,968,3279,732,722,382,2344,434,6037,783,9596,830,11948,734,11892,558,8092,401,5117,441,4271,766
0500000US37027,37027,"Caldwell County, North Carolina",78572,1200,13002,2708,4794,1361,546,297,0,287,868,469,312,204,26,45,163,219,209,258,383,357,845,543,944,508,150,147,216,169,132,160,8208,1903,502,362,222,186,766,445,395,339,321,267,78,142,1278,800,1249,515,1056,703,1087,550,513,298,351,223,390,261,65570,2769,33877,1610,1849,314,359,243,2771,851,972,418,485,283,748,292,3645,723,3527,353,4642,572,4906,594,4895,323,3032,210,2046,259,31693,1850,1337,656,543,355,1978,759,1092,649,496,252,759,309,2411,350,2999,440,4372,790,5092,540,4797,368,3303,275,2514,497
0500000US37035,37035,"Catawba County, North Carolina",157406,1456,22457,3435,10116,1812,1077,588,308,264,1274,632,337,381,0,287,385,310,1054,473,1603,721,1593,741,756,491,983,510,430,340,316,224,12341,2086,1070,591,288,243,1840,666,741,373,129,215,211,199,1591,775,1959,720,1279,593,1144,657,391,260,746,418,952,460,134949,3596,67367,2167,3978,651,746,419,5561,792,3012,906,1237,578,1573,398,5719,870,7507,687,10092,795,10783,767,9020,548,5120,333,3019,385,67582,2357,4116,711,682,424,4081,775,2803,706,1320,534,1411,370,3994,738,8172,795,9840,799,10632,647,9589,455,5975,512,4967,654
